county,tv_market,radio_market
Cherokee,Atlanta,Atlanta
Forsyth,Atlanta,Atlanta
Hall,Atlanta,No rated radio market
Coweta,Atlanta,Atlanta
Carroll,Atlanta,Atlanta
Bartow,Atlanta,Atlanta
Walton,Atlanta,Atlanta
Jackson,Atlanta,No rated radio market
Floyd,Atlanta,No rated radio market
Barrow,Atlanta,Atlanta
Whitfield,Chattanooga,No rated radio market
Effingham,Savannah,Savannah
Catoosa,Chattanooga,Chattanooga
Walker,Chattanooga,Chattanooga
Gordon,Atlanta,No rated radio market
Camden,Jacksonville,No rated radio market
Bryan,Savannah,Savannah
Laurens,Macon,No rated radio market
Oconee,Atlanta,No rated radio market
Habersham,Atlanta,No rated radio market
Harris,Columbus-Opelika,No rated radio market
Pickens,Atlanta,Atlanta
Polk,Atlanta,No rated radio market
Tift,Albany,No rated radio market
Colquitt,Albany,No rated radio market
Murray,Chattanooga,No rated radio market
Dawson,Atlanta,No rated radio market
Gilmer,Atlanta,No rated radio market
Coffee,Albany,No rated radio market
Lumpkin,Atlanta,No rated radio market
Lee,Albany,Albany
Monroe,Macon,Macon
Haralson,Atlanta,No rated radio market
Madison,Atlanta,No rated radio market
White,Atlanta,No rated radio market
Union,Atlanta,No rated radio market
Jones,Macon,Macon
Ware,Jacksonville,No rated radio market
Fannin,Atlanta,No rated radio market
Wayne,Savannah,No rated radio market
Hart,Greenville-Spartanburg-Asheville-Anderson,No rated radio market
Upson,Atlanta,No rated radio market
Stephens,Greenville-Spartanburg-Asheville-Anderson,No rated radio market
Butts,Atlanta,No rated radio market
Putnam,Atlanta,No rated radio market
Franklin,Greenville-Spartanburg-Asheville-Anderson,No rated radio market
Morgan,Atlanta,No rated radio market
Toombs,Savannah,No rated radio market
Pike,Atlanta,No rated radio market
Chattooga,Atlanta,No rated radio market
Grady,Tallahassee-Thomasville,No rated radio market
Lamar,Atlanta,No rated radio market
Banks,Atlanta,No rated radio market
Emanuel,Augusta-Aiken,No rated radio market
Rabun,Atlanta,No rated radio market
Elbert,Greenville-Spartanburg-Asheville-Anderson,No rated radio market
Worth,Albany,Albany
Pierce,Jacksonville,No rated radio market
Jasper,Atlanta,No rated radio market
Tattnall,Savannah,No rated radio market
Brantley,Jacksonville,Brunswick
Berrien,Albany,No rated radio market
Dade,Chattanooga,Chattanooga
Appling,Savannah,No rated radio market
Dodge,Macon,No rated radio market
Oglethorpe,Atlanta,No rated radio market
Cook,Albany,No rated radio market
Towns,Atlanta,No rated radio market
Heard,Atlanta,No rated radio market
Crawford,Macon,Macon
Jeff Davis,Savannah,No rated radio market
Bleckley,Macon,Macon
Candler,Savannah,No rated radio market
Charlton,Jacksonville,No rated radio market
Bacon,Jacksonville,No rated radio market
Lincoln,Augusta-Aiken,No rated radio market
Evans,Savannah,No rated radio market
Irwin,Albany,No rated radio market
Pulaski,Macon,Macon
Telfair,Macon,No rated radio market
Lanier,Albany,Valdosta
Seminole,Tallahassee-Thomasville,No rated radio market
Johnson,Macon,No rated radio market
Montgomery,Macon,No rated radio market
Jenkins,Augusta-Aiken,No rated radio market
Wilcox,Macon,No rated radio market
Atkinson,Albany,No rated radio market
Treutlen,Macon,No rated radio market
Clinch,Tallahassee-Thomasville,No rated radio market
Miller,Dothan,No rated radio market
Wheeler,Macon,No rated radio market
Schley,Columbus-Opelika,No rated radio market
Glascock,Augusta-Aiken,No rated radio market
Echols,Tallahassee-Thomasville,Valdosta
Paulding,Atlanta,Atlanta
Houston,Macon,Macon
Columbia,Augusta-Aiken,Augusta
Lowndes,Tallahassee-Thomasville,Valdosta
Glynn,Jacksonville,Brunswick
Bulloch,Savannah,No rated radio market
Spalding,Atlanta,Atlanta
Troup,Atlanta,No rated radio market
Thomas,Tallahassee-Thomasville,No rated radio market
Decatur,Tallahassee-Thomasville,No rated radio market
Meriwether,Atlanta,No rated radio market
Greene,Atlanta,No rated radio market
McDuffie,Augusta-Aiken,Augusta
Mitchell,Albany,No rated radio market
Crisp,Albany,No rated radio market
Long,Savannah,No rated radio market
Brooks,Tallahassee-Thomasville,Valdosta
Ben Hill,Albany,No rated radio market
Screven,Savannah,No rated radio market
McIntosh,Savannah,No rated radio market
Early,Dothan,No rated radio market
Wilkes,Augusta-Aiken,No rated radio market
Wilkinson,Macon,No rated radio market
Turner,Albany,No rated radio market
Taylor,Macon,Macon
Marion,Columbus-Opelika,No rated radio market
Baker,Albany,Albany
Webster,Columbus-Opelika,No rated radio market
Quitman,Columbus-Opelika,No rated radio market
Fayette,Atlanta,Atlanta
Baldwin,Macon,No rated radio market
Peach,Macon,Macon
Sumter,Columbus-Opelika,No rated radio market
Burke,Augusta-Aiken,No rated radio market
Washington,Macon,No rated radio market
Jefferson,Augusta-Aiken,No rated radio market
Dooly,Macon,No rated radio market
Twiggs,Macon,Macon
Terrell,Albany,Albany
Randolph,Columbus-Opelika,No rated radio market
Warren,Augusta-Aiken,No rated radio market
Chattahoochee,Columbus-Opelika,Columbus
Clay,Columbus-Opelika,No rated radio market
Gwinnett,Atlanta,Atlanta
Cobb,Atlanta,Atlanta
Chatham,Savannah,Savannah
Henry,Atlanta,Atlanta
Muscogee,Columbus-Opelika,Columbus
Bibb,Macon,Macon
Newton,Atlanta,Atlanta
Liberty,Savannah,No rated radio market
Macon,Macon,No rated radio market
Talbot,Columbus-Opelika,No rated radio market
Calhoun,Albany,Albany
Stewart,Columbus-Opelika,No rated radio market
Taliaferro,Augusta-Aiken,No rated radio market
Fulton,Atlanta,Atlanta
DeKalb,Atlanta,Atlanta
Clayton,Atlanta,Atlanta
Richmond,Augusta-Aiken,Augusta
Douglas,Atlanta,Atlanta
Clarke,Atlanta,No rated radio market
Rockdale,Atlanta,Atlanta
Dougherty,Albany,Albany
Hancock,Macon,No rated radio market
